Factor	Value	Class	Observed	Expected	Ratio	P-value	AdjP
Sex	F	MPATH:738	586	308.9028475864485	1.897036575022197	4.594868707791913e-93	2.0934221832699953e-89
Sex	M	MPATH:14	884	547.5228917704253	1.6145443657005276	4.594647509486363e-86	2.093321405321987e-82
Strain	KK/HlJ	PAM_0000163x555	106	8.66608371664065	12.231591970021979	8.670800976343023e-86	3.9504169248218816e-82
Both	SJL/J_F	PAM_0000165x591	78	15.375309156612449	5.07306872372414	4.900157596912705e-55	2.2325118011534286e-51
Strain	SJL/J	PAM_0000165x591	94	24.662185819374187	3.8115031931255348	1.3502656253001832e-54	6.151810188867635e-51
Strain	KK/HlJ	MA:0000163	110	14.321720750327612	7.680641308236912	4.060782537556778e-52	1.8500925241108683e-48
Strain	SJL/J	MA:0000165	120	41.90181398610278	2.8638378290686743	1.3602254565638888e-51	6.197187180105077e-48
Sex	F	PAM_0000116x696	682	443.8015147298107	1.5367230109955936	2.6201663003273514e-49	1.1937477664291413e-45
Sex	F	MPATH:696	682	443.8015147298107	1.5367230109955936	2.6201663003273514e-49	1.1937477664291413e-45
Both	SJL/J_F	MA:0000165	88	25.812223035514208	3.4092375491612494	3.2613201223184523e-47	1.4858574477282869e-43
Sex	F	MA:0001459	314	181.09122021411437	1.733932763989	7.03438477735871e-47	3.2048657045646286e-43
Strain	DBA/2J	PAM_0001876x181	58	6.146077741919539	9.436912846775263	3.292691323048429e-46	1.5001501667808643e-42
Strain	A/J	MA:0000165	174	48.72755995963884	3.57087447317544	4.156829439157012e-46	1.8938514924799345e-42
Strain	A/J	PAM_0000165x591	124	27.84333411225661	4.453489639569254	4.54116238479786e-46	2.0689535825139048e-42
Strain	SJL/J	PAM_0000165x14	102	33.73956603560227	3.0231568447670236	6.667198167954239e-46	3.037575485319951e-42
Strain	DBA/2J	PAM_0001876x811	50	4.1806439777920374	11.959879928930702	1.9776411285630653e-45	9.010132981733325e-42
Strain	KK/HlJ	MPATH:555	114	23.738574918353322	4.802310180459133	3.32782043437842e-45	1.5161549899028082e-41
Strain	DBA/2J	MPATH:811	60	5.8520750629322436	10.25277347859861	6.356081231932143e-45	2.8958306092682845e-41
Both	SJL/J_F	PAM_0000165x14	72	20.05829672722361	3.5895370867796488	2.0630243206106054e-44	9.399138804701919e-41
Strain	A/J	PAM_0000165x14	140	37.8518399334761	3.6986313015707393	4.105438970783239e-43	1.8704379950888438e-39
Sex	F	MA:0000116	742	508.74502452224374	1.4584909222390985	7.854689156889869e-43	3.578596379879024e-39
Both	KK/HlJ_F	PAM_0000163x555	60	4.62612140727704	12.969828224918187	2.1969266128406967e-42	1.0009197648102215e-38
Strain	C57L/J	PAM_0000253x642	68	7.244421770019434	9.386532446442247	3.6653058955184095e-42	1.6699133659981874e-38
Sex	F	MPATH:736	350	186.5947000680134	1.8757231575839277	1.8105231866604047e-41	8.248743638424804e-38
Strain	C57BR/cdJ	PAM_0000338x214	28	1.3117117117117116	21.346153846153847	2.9590489895726636e-41	1.3481427196493055e-37
Strain	C57BL/10J	PAM_0001876x127	42	2.1847327934820187	19.224318930582154	4.1784887217302263e-41	1.903719461620291e-37
Both	KK/HlJ_F	PAM_0001459x590	58	5.190375011341195	11.174529754260044	1.4857832098596787e-40	6.769228304120696e-37
Both	KK/HlJ_F	MPATH:590	58	5.264564334195206	11.01705598377239	1.4857832098596787e-40	6.769228304120696e-37
Strain	DBA/2J	MA:0001876	58	8.457740912750523	6.857623164190536	4.896012200237813e-40	2.2306231584283474e-36
Strain	C57L/J	MPATH:642	68	7.7847484468446275	8.735028557995637	1.174206319811454e-39	5.349683993060984e-36
Both	NON/ShiLtJ_F	PAM_0000377x474	62	2.985894121231429	20.76429956412193	1.2076278562638985e-39	5.5019525131383216e-36
Both	KK/HlJ_F	MA:0001459	58	6.014084572331469	9.644027998348426	1.777797293848586e-39	8.099644470774158e-36
Both	A/J_M	PAM_0000165x554	18	0.5292806159275002	34.00842475301533	4.495382996215332e-39	2.0480964930757052e-35
Sex	F	MPATH:590	266	150.65134976465947	1.765666224800062	5.413287633555836e-38	2.466293845848039e-34
Strain	SJL/J	MA:0002434	62	13.555183218401172	4.57389612527221	7.534870727566747e-37	3.4328871034794104e-33
Sex	F	PAM_0001459x590	260	147.46885450976066	1.7630841499673489	1.1839874922228618e-36	5.394247014567358e-33
