Factor	Value	Class	Observed	Expected	Ratio	P-value	AdjP
Sex	M	MA:0000399	1372	654.8095426121819	2.0952657386860687	2.37e-321	1.44449e-317
Sex	F	MA:0000544	1190	631.6083211538544	1.8840790409886417	6.363361494432494e-213	3.875923486258832e-209
Sex	F	MA:0001752	1184	628.5089805517541	1.883823519849458	2.605692143687001e-211	1.5871270847197522e-207
Sex	F	MA:0000383	1100	582.7297534368511	1.8876674710916477	1.456337228359785e-188	8.870550057939451e-185
Sex	F	MA:0000543	1226	714.340645386282	1.7162680129128542	1.1090217849214599e-147	6.755051691956613e-144
Sex	F	MA:0002420	860	457.27606577904226	1.8807019749324814	1.2851727847322404e-146	7.827987431804076e-143
Sex	F	MPATH:738	586	308.9028475864485	1.897036575022197	4.594868707791913e-93	2.7987345299160538e-89
Strain	KK/HlJ	MAP_0000163x555	106	8.66608371664065	12.231591970021979	8.670800976343023e-86	5.281384874690536e-82
Strain	KK/HlJ	PAM_0000163x555	106	8.66608371664065	12.231591970021979	8.670800976343023e-86	5.281384874690536e-82
Both	SJL/J_F	PAM_0000165x591	78	15.375309156612449	5.07306872372414	4.900157596912705e-55	2.9846859922795287e-51
Both	SJL/J_F	MAP_0000165x591	78	15.375309156612449	5.07306872372414	4.900157596912705e-55	2.9846859922795287e-51
Strain	SJL/J	MAP_0000165x591	94	24.662185819374187	3.8115031931255348	1.3502656253001832e-54	8.224467923703416e-51
Strain	SJL/J	PAM_0000165x591	94	24.662185819374187	3.8115031931255348	1.3502656253001832e-54	8.224467923703416e-51
Strain	KK/HlJ	MA:0000163	110	14.321720750327612	7.680641308236912	4.060782537556778e-52	2.4734226436258336e-48
Strain	SJL/J	MA:0000165	120	42.026443066221475	2.855345140936977	1.3602254565638888e-51	8.285133255930647e-48
Sex	F	MPATH:696	682	443.8015147298107	1.5367230109955936	2.6201663003273514e-49	1.5959432935293896e-45
Sex	F	PAM_0000116x696	682	443.8015147298107	1.5367230109955936	2.6201663003273514e-49	1.5959432935293896e-45
Sex	F	MAP_0000116x696	682	443.8015147298107	1.5367230109955936	2.6201663003273514e-49	1.5959432935293896e-45
Both	SJL/J_F	MA:0000165	88	25.889374370825784	3.399077889621212	3.2613201223184523e-47	1.986470086504169e-43
Sex	F	MA:0001459	320	185.6063942978789	1.7240785330188215	7.03438477735871e-47	4.284643767889191e-43
Strain	DBA/2J	MAP_0001876x181	58	6.146077741919539	9.436912846775263	3.292691323048429e-46	2.005578284868798e-42
Strain	DBA/2J	PAM_0001876x181	58	6.146077741919539	9.436912846775263	3.292691323048429e-46	2.005578284868798e-42
Strain	A/J	MA:0000165	174	48.89966678456465	3.558306455677602	4.156829439157012e-46	2.5319248113905357e-42
Strain	A/J	MAP_0000165x591	124	27.84333411225661	4.453489639569254	4.54116238479786e-46	2.7660220085803762e-42
Strain	A/J	PAM_0000165x591	124	27.84333411225661	4.453489639569254	4.54116238479786e-46	2.7660220085803762e-42
Strain	SJL/J	PAM_0000165x14	102	33.73956603560227	3.0231568447670236	6.667198167954239e-46	4.060990404100927e-42
Strain	SJL/J	MAP_0000165x14	102	33.73956603560227	3.0231568447670236	6.667198167954239e-46	4.060990404100927e-42
Strain	DBA/2J	PAM_0001876x811	50	4.1806439777920374	11.959879928930702	1.9776411285630653e-45	1.204581211407763e-41
Strain	DBA/2J	MAP_0001876x811	50	4.1806439777920374	11.959879928930702	1.9776411285630653e-45	1.204581211407763e-41
Strain	DBA/2J	MPATH:811	60	5.8520750629322436	10.25277347859861	6.356081231932143e-45	3.8714890783698685e-41
Both	SJL/J_F	PAM_0000165x14	72	20.05829672722361	3.5895370867796488	2.0630243206106054e-44	1.2565881136839197e-40
Both	SJL/J_F	MAP_0000165x14	72	20.05829672722361	3.5895370867796488	2.0630243206106054e-44	1.2565881136839197e-40
Strain	A/J	PAM_0000165x14	140	37.8518399334761	3.6986313015707393	4.105438970783239e-43	2.500622877104071e-39
Strain	A/J	MAP_0000165x14	140	37.8518399334761	3.6986313015707393	4.105438970783239e-43	2.500622877104071e-39
Sex	F	MA:0000116	742	508.74502452224374	1.4584909222390985	7.854689156889869e-43	4.784291165461619e-39
Both	KK/HlJ_F	PAM_0000163x555	60	4.62612140727704	12.969828224918187	2.1969266128406967e-42	1.3381479998812683e-38
Both	KK/HlJ_F	MAP_0000163x555	60	4.62612140727704	12.969828224918187	2.1969266128406967e-42	1.3381479998812683e-38
Strain	C57L/J	PAM_0000253x642	68	7.244421770019434	9.386532446442247	3.6653058955184095e-42	2.2325378209602633e-38
Strain	C57L/J	MAP_0000253x642	68	7.244421770019434	9.386532446442247	3.6653058955184095e-42	2.2325378209602633e-38
Sex	F	MPATH:736	350	186.5947000680134	1.8757231575839277	1.8105231866604047e-41	1.1027896729948525e-37
Strain	KK/HlJ	MPATH:555	122	31.343471658803495	3.892357596122689	1.9608364683113648e-41	1.1943454928484523e-37
Strain	C57BR/cdJ	MAP_0000338x214	28	1.3117117117117116	21.346153846153847	2.9590489895726636e-41	1.8023567395487095e-37
Strain	C57BR/cdJ	PAM_0000338x214	28	1.3117117117117116	21.346153846153847	2.9590489895726636e-41	1.8023567395487095e-37
Strain	C57BL/10J	PAM_0001876x127	42	2.1847327934820187	19.224318930582154	4.1784887217302263e-41	2.545117480405881e-37
Strain	C57BL/10J	MAP_0001876x127	42	2.1847327934820187	19.224318930582154	4.1784887217302263e-41	2.545117480405881e-37
Both	KK/HlJ_F	MAP_0001459x590	58	5.190375011341195	11.174529754260044	1.4857832098596787e-40	9.049905531255302e-37
Both	KK/HlJ_F	MPATH:590	58	5.264564334195206	11.01705598377239	1.4857832098596787e-40	9.049905531255302e-37
Both	KK/HlJ_F	MPATH:589	58	5.817836827336688	9.96934113508843	1.4857832098596787e-40	9.049905531255302e-37
Both	KK/HlJ_F	PAM_0001459x590	58	5.190375011341195	11.174529754260044	1.4857832098596787e-40	9.049905531255302e-37
Strain	DBA/2J	MA:0001876	58	8.457740912750523	6.857623164190536	4.896012200237813e-40	2.9821610311648518e-36
Strain	SJL/J	MPATH:335	68	15.057509144384865	4.5160191734207284	8.808175857606743e-40	5.365059914868267e-36
Strain	DBA/2J	MA:0001878	58	8.987813428638987	6.453182463177017	9.80117860417968e-40	5.9698978878058434e-36
Strain	C57L/J	MPATH:642	68	7.7847484468446275	8.735028557995637	1.174206319811454e-39	7.152090693971565e-36
Both	NON/ShiLtJ_F	PAM_0000377x474	62	2.985894121231429	20.76429956412193	1.2076278562638985e-39	7.355661272503406e-36
Both	NON/ShiLtJ_F	MAP_0000377x474	62	2.985894121231429	20.76429956412193	1.2076278562638985e-39	7.355661272503406e-36
Both	A/J_M	MAP_0000165x554	18	0.5292806159275002	34.00842475301533	4.495382996215332e-39	2.738137782994759e-35
Both	A/J_M	PAM_0000165x554	18	0.5292806159275002	34.00842475301533	4.495382996215332e-39	2.738137782994759e-35
Both	KK/HlJ_F	MA:0001459	58	6.124723002945568	9.469816018145803	5.6739200975873684e-39	3.455984731440466e-35
Sex	F	MPATH:590	266	150.65134976465947	1.765666224800062	5.413287633555836e-38	3.29723349759886e-34
Sex	F	MPATH:589	270	162.1611196543633	1.665010704017639	5.413287633555836e-38	3.29723349759886e-34
Strain	SJL/J	MPATH:513	58	12.682779657570311	4.573129989322174	7.534870727566747e-37	4.589489760160906e-33
Strain	SJL/J	MA:0002434	62	13.555183218401172	4.57389612527221	7.534870727566747e-37	4.589489760160906e-33
Sex	F	MAP_0001459x590	260	147.46885450976066	1.7630841499673489	1.1839874922228618e-36	7.211667815129451e-33
Sex	F	PAM_0001459x590	260	147.46885450976066	1.7630841499673489	1.1839874922228618e-36	7.211667815129451e-33
Strain	A/J	PAM_0000165x428	42	3.5716195683472844	11.759371118978077	1.5039991217233133e-36	9.160858650416701e-33
Strain	A/J	MAP_0000165x428	42	3.5716195683472844	11.759371118978077	1.5039991217233133e-36	9.160858650416701e-33
Strain	A/J	MPATH:428	42	3.5716195683472844	11.759371118978077	1.5039991217233133e-36	9.160858650416701e-33
Strain	KK/HlJ	MAP_0001876x811	56	8.013359384349659	6.988330026651463	2.3890848707624217e-35	1.455191594781391e-31
Strain	KK/HlJ	PAM_0001876x811	56	8.013359384349659	6.988330026651463	2.3890848707624217e-35	1.455191594781391e-31
Strain	C57BL/10J	MA:0001876	74	10.857780144517491	6.815389427217812	4.463896846471231e-35	2.718959569185627e-31
Both	SJL/J_F	MPATH:335	54	10.25970310518053	5.263310199759413	6.705450932619292e-35	4.0842901630584105e-31
Strain	KK/HlJ	MPATH:811	58	9.048715686463352	6.409749406401013	6.955847857463055e-35	4.236806929980747e-31
Strain	C57BL/10J	MA:0001878	76	11.567269900751146	6.570262529714533	9.19159879277308e-35	5.598602824678083e-31
Strain	SJL/J	PAM_0001324x644	28	3.64238449330687	7.687271909775563	2.022141909668059e-34	1.2316866371788147e-30
Strain	SJL/J	MAP_0001324x644	28	3.64238449330687	7.687271909775563	2.022141909668059e-34	1.2316866371788147e-30
Strain	SJL/J	MA:0001324	28	3.799865084595078	7.36868267073849	7.166615911138691e-34	4.3651857514745766e-30
Both	KK/HlJ_F	MPATH:43	44	6.4966769315934325	6.772693249686986	7.585147590987288e-34	4.620113397670357e-30
Strain	A/J	MPATH:423	42	4.146463848829547	10.129112788926317	2.0705710029994852e-33	1.2611847979269864e-29
Sex	F	MPATH:62	592	388.95781660926724	1.5220159480551112	2.2232356275270312e-33	1.3541728207267146e-29
Both	NON/ShiLtJ_F	MA:0000377	64	5.305673391956862	12.062559315660257	3.333293557705201e-33	2.030309105998238e-29
Sex	F	MPATH:329	126	64.41164749579461	1.956167943200435	4.03277724466047e-33	2.4563646197226923e-29
Strain	DBA/2J	MPATH:555	80	23.27246416491787	3.437538862798903	7.876928391151323e-33	4.797837083050271e-29
Both	A/J_F	MAP_0000165x591	88	15.65500376288032	5.621205930889482	2.1557300176566518e-32	1.3130551537546666e-28
Both	A/J_F	PAM_0000165x591	88	15.65500376288032	5.621205930889482	2.1557300176566518e-32	1.3130551537546666e-28
